0.9 1.16144080e+00 4.91785100e-01
1.1 1.39543980e+00 5.90866600e-01
1.3 1.61976680e+00 6.85852600e-01
1.5 1.83313510e+00 7.76198400e-01
1.7 2.03309480e+00 8.60866700e-01
1.9 2.21714980e+00 9.38800500e-01
2.1 2.38224200e+00 1.00870500e+00
2.3 2.52812020e+00 1.07047370e+00
2.5 2.65563200e+00 1.12446560e+00
2.7 2.76839490e+00 1.17221240e+00
2.9 2.86963510e+00 1.21508030e+00
3.1 2.95648430e+00 1.25185450e+00
3.3 3.02652580e+00 1.28151200e+00
3.5 3.07627330e+00 1.30257640e+00
3.7 3.10935410e+00 1.31658370e+00
3.9 3.12751500e+00 1.32427350e+00
4.1 3.13243020e+00 1.32635470e+00
4.3 3.12585400e+00 1.32357020e+00
4.5 3.10436650e+00 1.31447180e+00
4.7 3.06577280e+00 1.29813020e+00
4.9 3.01424900e+00 1.27631360e+00
5.1 2.95460200e+00 1.25105750e+00
5.3 2.88859140e+00 1.22310690e+00
5.5 2.81661100e+00 1.19262840e+00
5.7 2.74014390e+00 1.16025020e+00
5.9 2.66197480e+00 1.12715130e+00
6.1 2.58537750e+00 1.09471800e+00
6.3 2.51102330e+00 1.06323440e+00
6.5 2.43700050e+00 1.03189120e+00
6.7 2.36154570e+00 9.99941600e-01
6.9 2.28338670e+00 9.66847000e-01
7.1 2.20153160e+00 9.32187400e-01
7.3 2.11553350e+00 8.95773500e-01
7.5 2.02627540e+00 8.57979200e-01
7.7 1.93512760e+00 8.19384800e-01
7.9 1.84497800e+00 7.81213000e-01
8.1 1.75696430e+00 7.43945700e-01
8.3 1.67254430e+00 7.08200000e-01
8.5 1.59258820e+00 6.74344400e-01
8.7 1.51679400e+00 6.42251100e-01
8.9 1.44479640e+00 6.11765400e-01
9.1 1.37633300e+00 5.82776200e-01
9.3 1.31098600e+00 5.55106500e-01
9.5 1.24863860e+00 5.28707000e-01
9.7 1.18943310e+00 5.03637800e-01
9.9 1.13323130e+00 4.79840400e-01
10.1 1.07989870e+00 4.57258000e-01
10.3 1.02937400e+00 4.35864500e-01
10.5 9.81676700e-01 4.15668200e-01
10.7 9.36649800e-01 3.96602600e-01
10.9 8.93934400e-01 3.78515800e-01
11.1 8.53259300e-01 3.61292800e-01
11.3 8.14549100e-01 3.44901900e-01
11.5 7.77761700e-01 3.29325100e-01
11.7 7.43026000e-01 3.14617100e-01
11.9 7.10310100e-01 3.00764300e-01
12.1 6.79498600e-01 2.87717900e-01
12.3 6.50058300e-01 2.75252100e-01
12.5 6.21372500e-01 2.63105700e-01
12.7 5.93406900e-01 2.51264400e-01
12.9 5.66536800e-01 2.39886800e-01
13.1 5.41173200e-01 2.29147200e-01
